,0,1,2,3,4
FOX3-TMP3,93.15982649,69.92895204,106.6179159,103.6580949,0.0
FUS1-CPR1,81.63906269,75.05271252,72.33359233,0.0,0.0
FUS1-DOX2,81.95313458,88.70587652,69.24630925,0.0,0.0
FUS1-TMP3,68.76211508,84.57817577,87.47992748,0.0,0.0
CPR1-DOX2,89.21604711,92.69466425,98.08857809,0.0,0.0
CPR1-TMP3,101.150779,97.45739588,103.0613831,0.0,0.0
DOX2-TMP3,103.6633542,91.10708704,94.19321419,0.0,0.0
FOX3-FUS1-CPR1,65.68234902,80.1598579,89.06764168,82.47011952,0.0
FOX3-FUS1-DOX2,68.88555222,76.46536412,79.41499086,85.94712061,0.0
FOX3-FUS1-TMP3,70.75408742,74.47602131,76.78244973,73.19811662,0.0
FOX3-CPR1-DOX2,81.68168168,68.5079929,115.1005484,115.5378486,0.0
FOX3-CPR1-TMP3,86.75342009,68.5079929,96.96526508,95.83484245,0.0
FOX3-DOX2-TMP3,96.8968969,86.78507993,97.25776965,104.5273452,0.0
FUS1-CPR1-DOX2,73.47319347,75.68774341,70.57239057,0.0,0.0
FUS1-CPR1-TMP3,75.98576862,80.45047503,84.82776483,0.0,0.0
FUS1-DOX2-TMP3,71.27469022,80.13295959,75.21367521,0.0,0.0
CPR1-DOX2-TMP3,105.2337137,92.69466425,93.11577312,0.0,0.0
FOX3-FUS1-CPR1-DOX2,60.87754421,72.77087034,84.38756856,70.01086563,0.0
FOX3-FUS1-CPR1-TMP3,59.00900901,74.47602131,89.06764168,73.19811662,0.0
FOX3-FUS1-DOX2-TMP3,68.35168502,81.86500888,75.0274223,70.59036581,0.0
FOX3-CPR1-DOX2-TMP3,90.75742409,96.1634103,103.6928702,112.9300978,0.0
FUS1-CPR1-DOX2-TMP3,84.46570973,87.43581475,75.87671588,0.0,0.0
FOX3-FUS1-CPR1-DOX2-TMP3,56.60660661,78.73889876,55.72212066,70.01086563,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR1,102.4070666,86.02683998,88.14296814,0.0,0.0
DOX3,84.81904061,89.71795699,96.51385651,0.0,0.0
TMP1,100.2085634,102.8551584,92.78425278,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR1,81.94861528,80.72824156,114.8080439,107.4248461,0.0
FOX3-DOX3,88.08808809,71.06571936,100.7678245,103.6580949,0.0
FOX3-TMP1,93.15982649,72.20248668,108.3729433,102.2093444,0.0
FUS1-CPR1,81.63906269,75.05271252,72.33359233,0.0,0.0
FUS1-DOX3,81.95313458,88.70587652,69.24630925,0.0,0.0
FUS1-TMP1,70.33247454,83.30811401,85.82232582,0.0,0.0
CPR1-DOX3,89.21604711,92.69466425,98.08857809,0.0,0.0
CPR1-TMP1,106.8040731,105.0777665,102.3983424,0.0,0.0
DOX3-TMP1,102.4070666,89.51950984,98.17145817,0.0,0.0
FOX3-FUS1-CPR1,65.68234902,80.1598579,89.06764168,82.47011952,0.0
FOX3-FUS1-DOX3,68.88555222,76.46536412,79.41499086,85.94712061,0.0
FOX3-FUS1-TMP1,79.29596263,85.84369449,81.75502742,74.93661717,0.0
FOX3-CPR1-DOX3,81.68168168,68.5079929,115.1005484,115.5378486,0.0
FOX3-CPR1-TMP1,89.68968969,76.46536412,101.0603291,105.9760956,0.0
FOX3-DOX3-TMP1,100.1001001,101.2788632,102.2303473,106.5555958,0.0
FUS1-CPR1-DOX3,73.47319347,75.68774341,70.57239057,0.0,0.0
FUS1-CPR1-TMP1,77.55612808,78.22786694,94.77337477,0.0,0.0
FUS1-DOX3-TMP1,61.38142559,89.02339196,77.2027972,0.0,0.0
CPR1-DOX3-TMP1,101.7789228,92.05963337,93.11577312,0.0,0.0
FOX3-FUS1-CPR1-DOX3,60.87754421,72.77087034,84.38756856,70.01086563,0.0
FOX3-FUS1-CPR1-TMP1,71.55488822,79.02309059,90.8226691,67.40311481,0.0
FOX3-FUS1-DOX3-TMP1,53.1364698,57.14031972,46.43510055,67.98261499,0.0
FOX3-CPR1-DOX3-TMP1,94.49449449,110.6571936,106.3254113,125.0996016,0.0
FUS1-CPR1-DOX3-TMP1,80.06870323,80.76799047,84.82776483,0.0,0.0
FOX3-FUS1-CPR1-DOX3-TMP1,63.27994661,86.69626998,59.81718464,63.63636364,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR1,102.4070666,86.02683998,88.14296814,0.0,0.0
DOX3,89.64789596,90.47205616,94.52473452,0.0,0.0
TMP2,87.95975954,98.09242676,93.77881378,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR1,81.94861528,80.72824156,114.8080439,107.4248461,0.0
FOX3-DOX3,87.82115449,74.47602131,102.5228519,102.4990945,0.0
FOX3-TMP2,85.15181849,75.3285968,104.5703839,101.6298443,0.0
FUS1-CPR1,81.63906269,75.05271252,72.33359233,0.0,0.0
FUS1-DOX3,80.38277512,82.67308312,93.11577312,0.0,0.0
FUS1-TMP2,72.84504969,79.49792871,73.55607356,0.0,0.0
CPR1-DOX3,102.4070666,94.28224146,90.13209013,0.0,0.0
CPR1-TMP2,97.38191633,99.04497309,100.7407407,0.0,0.0
DOX3-TMP2,107.7462888,89.40044154,103.1442631,0.0,0.0
FOX3-FUS1-CPR1,65.68234902,80.1598579,89.06764168,82.47011952,0.0
FOX3-FUS1-DOX3,69.68635302,72.48667851,84.38756856,54.07461065,0.0
