,0,1,2,3,4
AMP1-CPR1-ERY1-TMP2,85.75684494,89.77865501,97.95186126,0.0,0.0
AMP1-CPR1-DOX2-TMP2,86.66477515,93.83899619,101.0614442,0.0,0.0
AMP1-ERY1-DOX2-TMP2,95.06312952,78.72550402,95.55987442,0.0,0.0
CPR1-ERY1-DOX2-TMP2,98.01390268,96.54589031,105.3670205,0.0,0.0
AMP1-CPR1-ERY1-DOX2-TMP2,83.71400199,93.38784717,87.90551652,0.0,0.0
AMP1,86.21081004,86.39503736,74.51039019,0.0,0.0
CPR1,91.65839126,101.5085295,92.45029152,0.0,0.0
ERY1,90.29649596,96.99703933,94.12468231,0.0,0.0
DOX2,99.82976309,103.9898491,105.1278218,0.0,0.0
TMP3,95.97105972,102.1852531,110.1509942,0.0,0.0
AMP1-CPR1,81.44417648,73.98843931,72.11840335,0.0,0.0
AMP1-ERY1,81.21719393,77.37205696,72.59680072,0.0,0.0
AMP1-DOX2,90.52347851,93.83899619,91.49349679,0.0,0.0
AMP1-TMP3,102.7805362,98.3504864,101.7790402,0.0,0.0
CPR1-ERY1,100.9646758,99.02720993,95.79907311,0.0,0.0
CPR1-DOX2,98.46786778,103.9898491,100.3438481,0.0,0.0
CPR1-TMP3,96.87898993,108.5013393,110.6293915,0.0,0.0
ERY1-DOX2,93.47425167,96.99703933,96.27747047,0.0,0.0
ERY1-TMP3,88.48063555,100.6062315,103.453431,0.0,0.0
DOX2-TMP3,100.9646758,98.80163542,99.14785469,0.0,0.0
AMP1-CPR1-ERY1,80.08228117,74.43958833,72.35760203,0.0,0.0
AMP1-CPR1-DOX2,80.53624628,82.56027069,92.45029152,0.0,0.0
AMP1-CPR1-TMP3,89.1615832,90.00422952,95.32067574,0.0,0.0
AMP1-ERY1-DOX2,83.48701944,82.7858452,79.77276125,0.0,0.0
AMP1-ERY1-TMP3,94.15519932,94.96686874,93.88548363,0.0,0.0
AMP1-DOX2-TMP3,100.9646758,102.1852531,104.8886231,0.0,0.0
CPR1-ERY1-DOX2,101.6456235,92.71112364,101.5398415,0.0,0.0
CPR1-ERY1-TMP3,94.83614697,101.9596786,98.43025863,0.0,0.0
CPR1-DOX2-TMP3,103.915449,100.1550825,108.2374047,0.0,0.0
ERY1-DOX2-TMP3,97.55993758,91.8088256,93.88548363,0.0,0.0
AMP1-CPR1-ERY1-DOX2,72.36487445,78.95107853,92.21109284,0.0,0.0
AMP1-CPR1-ERY1-TMP3,85.52986239,90.22980403,96.27747047,0.0,0.0
